round,date,home_team,away_team,home_score,away_score,stadium,stage
22,03/31/2018 20:15,FC Viktoria Plzeň,FK Mladá Boleslav,1,2,Doosan Aréna,
22,04/01/2018 18:00,SK Slavia Praha,FC Fastav Zlín,1,2,Sinobo Stadium,
23,04/07/2018 13:00,FC Zbrojovka Brno,SK Slavia Praha,0,1,Městský fotbalový stadión,
23,04/07/2018 15:00,AC Sparta Praha,FK Dukla Praha,3,0,Generali Česká pojišťovna Arena,
23,04/07/2018 17:00,FK Mladá Boleslav,FK Jablonec,1,1,Městský stadion Mladá Boleslav,
23,04/07/2018 17:00,FC Fastav Zlín,FC Baník Ostrava,0,2,Letná,
23,04/07/2018 17:00,SK Sigma Olomouc,FC Vysočina Jihlava,1,1,Andrův stadión,
23,04/07/2018 18:00,FC Slovan Liberec,FK Teplice,1,2,Stadión U Nisy,
23,04/08/2018 16:00,MFK Karviná,1.FC Slovácko,0,0,Městský stadion Karviná,
23,04/08/2018 18:00,Bohemians Praha 1905,FC Viktoria Plzeň,5,2,Ďolíček,
24,04/13/2018 18:00,SK Slavia Praha,MFK Karviná,3,2,Sinobo Stadium,
24,04/13/2018 18:00,FC Vysočina Jihlava,FC Fastav Zlín,1,1,Stadion v Jiráskově ulici,
24,04/13/2018 18:00,FK Teplice,FK Mladá Boleslav,1,1,Na Stínadlech,
24,04/14/2018 16:00,FK Jablonec,SK Sigma Olomouc,0,0,Střelnice,
24,04/14/2018 16:30,FC Baník Ostrava,Bohemians Praha 1905,2,0,Městský stadion Ostrava,
24,04/14/2018 17:00,1.FC Slovácko,FC Zbrojovka Brno,1,0,Městský fotbalový stadion Miroslava Valenty,
24,04/14/2018 18:00,FK Dukla Praha,FC Slovan Liberec,2,0,Na Julisce,
24,04/15/2018 18:00,FC Viktoria Plzeň,AC Sparta Praha,2,2,Doosan Aréna,
25,04/20/2018 20:15,AC Sparta Praha,FK Jablonec,2,0,Generali Česká pojišťovna Arena,
25,04/21/2018 15:00,SK Sigma Olomouc,FC Baník Ostrava,1,0,Andrův stadión,
25,04/21/2018 17:00,1.FC Slovácko,FK Dukla Praha,2,0,Městský fotbalový stadion Miroslava Valenty,
25,04/21/2018 17:00,Bohemians Praha 1905,FC Vysočina Jihlava,1,1,Ďolíček,
25,04/21/2018 18:00,FK Mladá Boleslav,FC Fastav Zlín,0,1,Městský stadion Mladá Boleslav,
25,04/21/2018 20:15,FC Zbrojovka Brno,FC Viktoria Plzeň,1,3,Městský fotbalový stadión,
25,04/22/2018 16:00,MFK Karviná,FK Teplice,1,1,Městský stadion Karviná,
25,04/22/2018 18:00,FC Slovan Liberec,SK Slavia Praha,0,0,Stadión U Nisy,
26,04/27/2018 18:00,FK Dukla Praha,FC Zbrojovka Brno,2,1,Na Julisce,
26,04/27/2018 18:00,FC Vysočina Jihlava,FK Mladá Boleslav,0,0,Stadion v Jiráskově ulici,
26,04/28/2018 15:00,FC Baník Ostrava,AC Sparta Praha,3,2,Městský stadion Ostrava,
